SOURCE,INDEX_COL,ID,NAME,URL
Artist,75,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,https://api.spotify.com/v1/artists/2sil8z5kiy4r76CRTXxBCA
Artist,76,2acqLrAZ1lspWmbpQzdiGE,The Hourglass Effect,https://api.spotify.com/v1/artists/2acqLrAZ1lspWmbpQzdiGE
Artist,77,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J
Artist,78,0C0XlULifJtAgn6ZNCW2eu,The Killers,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu
Artist,79,77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,https://api.spotify.com/v1/artists/77SW9BnxLY8rJ0RciFqkHh
Artist,80,5NGO30tJxFlKixkPSgXcFE,The Police,https://api.spotify.com/v1/artists/5NGO30tJxFlKixkPSgXcFE
Artist,81,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
Artist,82,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,https://api.spotify.com/v1/artists/2txHhyCwHjUEpJjWrEyqyX
Artist,83,2NjfBq1NflQcKSeiDooVjY,Tones And I,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY
Artist,84,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY
Artist,85,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx
Artist,86,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF
Artist,87,10exVja0key0uqUkk6LJRT,Vance Joy,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT
Artist,88,4tpO0zfBPnybSWgVuvUhza,Visceral Design,https://api.spotify.com/v1/artists/4tpO0zfBPnybSWgVuvUhza
Artist,89,3tVQdUvClmAT7URs9V3rsp,Wizkid,https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp
Artist,90,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,https://api.spotify.com/v1/artists/15UsOTVnJzReFVN1VCnxy4
Artist,91,3wuXZ5eJzdqsSaVUbsc2Mi,Y is Nature,https://api.spotify.com/v1/artists/3wuXZ5eJzdqsSaVUbsc2Mi
Song,1,6ocbgoVGwYJhOv1GgI9NsF,7 rings,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
Song,3,3U4isOIWM3VvDubwSI3y7a,All of Me,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
Song,4,3JvKfv6T31zO0ini8iNItO,Another Love,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO
Song,5,4Dvkj6JhhA12EX05fT7y2e,As It Was,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
Song,6,2eHmX05hiyqkOT3mB7ISFP,BAD HABIT,https://open.spotify.com/track/2eHmX05hiyqkOT3mB7ISFP
Song,7,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
Song,8,0CcQNd8CINkwQfe1RDtGV6,Believer,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
Song,9,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
